cut_layer,n_seeds,seeds,psnr_mean,psnr_std,ssim_mean,ssim_std,mse_mean,mse_std
1,3,42;1234;2026,41.8273,1.824889399388356,0.995,0.0008000000000000229,8.033333333333333e-05,3.3321664624285106e-05
2,3,42;1234;2026,35.710100000000004,0.40590714455402327,0.9825333333333334,0.0008386497083606439,0.000304,2.6457513110645912e-05
3,3,42;1234;2026,29.805400000000002,0.1453169295023824,0.9382,0.0013453624047073467,0.0011673333333333334,3.4297716153314494e-05
4,3,42;1234;2026,24.296466666666664,0.26505867903793184,0.8087,0.006630233781700293,0.004148666666666666,0.000242300089420812
