round,acc_train,acc_test,loss_train,loss_test
1,28.248046875,10.737680268287658,1.9459696298837663,3.328148865699768
2,38.958984375,38.02584142684937,1.6539136266708376,1.7134614139795303
3,43.380859375,42.386568546295166,1.531301208138466,1.5953309506177902
4,46.48046875,46.2034255027771,1.447763215303421,1.4788357198238373
5,49.07421875,48.36087732315063,1.3868320310115814,1.4556234568357467
6,51.037109375,51.005108165740964,1.333906589746475,1.363566479086876
7,53.646484375,50.11268033981323,1.2755139514803886,1.4380028694868088
8,55.009765625,53.59074516296387,1.2345946529507636,1.329415225982666
9,56.83203125,55.2321213722229,1.1903184962272644,1.2643603175878524
10,57.9609375,57.603665828704834,1.1556401816010475,1.204243642091751
11,59.31640625,58.389423084259036,1.1306397512555122,1.1896692976355552
12,60.70703125,58.8228666305542,1.0955927908420562,1.1507270365953446
13,62.07421875,59.44035453796387,1.054258150756359,1.142922756075859
14,63.0859375,61.005108165740964,1.0255083552002906,1.1297870427370071
15,63.880859375,59.71905040740967,1.006025258898735,1.1823329657316208
16,64.90234375,62.47145442962646,0.9767842265963556,1.0874257862567902
17,66.2421875,62.24909858703613,0.9464183238148689,1.1126998469233513
18,67.044921875,64.27283658981324,0.9274096742272377,1.0473943546414375
19,67.234375,64.9406551361084,0.9111473473906517,1.0180257439613343
20,68.216796875,64.71829919815063,0.8884439405798912,1.045931062102318
21,69.017578125,65.40715141296387,0.8727363884449005,1.0043396070599555
22,69.7578125,66.69396057128907,0.8527650102972985,0.9652793750166893
23,70.634765625,67.2678786277771,0.8322110721468926,0.9443277642130852
24,71.166015625,68.22415866851807,0.8130621278285981,0.9272970959544182
25,71.552734375,67.97325735092163,0.8005216211080551,0.923298054933548
26,72.234375,68.75300483703613,0.7864443483948708,0.9232224464416504
27,72.796875,70.00225372314453,0.7654596275091171,0.8783219739794731
28,73.45703125,69.38777046203613,0.7511388108134269,0.9231300130486488
29,73.87109375,71.22070331573487,0.7353579315543175,0.8482540220022201
30,74.482421875,71.23046875,0.7215426138043404,0.8410462290048599
31,74.556640625,70.00676078796387,0.7142920061945915,0.87927086353302
32,74.86328125,72.82602157592774,0.7082383087277412,0.792395505309105
33,75.85546875,71.87274627685547,0.6859476685523986,0.8520483911037445
34,76.064453125,71.92382831573487,0.6778291267156601,0.8455483704805374
35,76.265625,69.76111783981324,0.6746176210045814,0.923172052204609
36,76.810546875,72.3835636138916,0.6570492918789387,0.826294706761837
37,77.203125,71.71649646759033,0.64843490421772,0.8602816075086593
38,77.17578125,73.046875,0.6409309731423856,0.7934101484715939
39,77.779296875,73.79582328796387,0.629339101165533,0.7774772018194198
40,78.46484375,73.09795684814453,0.6165575037896633,0.8018862083554268
41,78.34765625,74.83924255371093,0.6127359864115715,0.7661663338541984
42,78.662109375,73.09870777130126,0.5996989442408085,0.8111322715878486
43,78.94140625,73.78756008148193,0.59833824172616,0.7885666608810424
44,79.396484375,74.1158353805542,0.5847138176858425,0.8057377614080906
45,79.740234375,74.86027660369874,0.5763101601600648,0.7763052359223366
46,79.798828125,75.06084728240967,0.5714608225226402,0.7557306081056595
47,79.900390625,75.6730770111084,0.5704490023851394,0.7479671195149422
48,80.7265625,76.11478328704834,0.5521562983095646,0.7327423252165317
49,81.029296875,75.02328720092774,0.5407454119622708,0.7577235773205757
50,81.095703125,75.5866886138916,0.5371592871844768,0.7532283157110214
