round,acc_train,acc_test,loss_train,loss_test
1,29.142578125,11.740534853935241,1.9123928409814834,3.563182419538498
2,38.671875,37.652493953704834,1.645407396554947,1.7321736752986907
3,43.5234375,44.51697702407837,1.5293545532226562,1.5077944248914719
4,46.720703125,45.97055282592773,1.456424515247345,1.4882232666015625
5,49.396484375,47.726863098144534,1.3857610696554183,1.448432946205139
6,50.849609375,50.1051682472229,1.3468436187505721,1.3935474663972856
7,52.787109375,51.385216331481935,1.297887458205223,1.3665749609470368
8,54.515625,53.863431453704834,1.2542657089233398,1.3118006974458694
9,55.88671875,55.41766834259033,1.2151691561937332,1.2601939558982849
10,57.015625,54.81445322036743,1.1847969317436218,1.28398055434227
11,58.072265625,54.476412296295166,1.157239063680172,1.3124754279851913
12,59.564453125,56.7210036277771,1.117304121553898,1.274211013317108
13,60.650390625,59.040715026855466,1.0955308949947358,1.183210727572441
14,62.13671875,59.61613578796387,1.0590298381447791,1.1723104193806648
15,63.236328125,61.1771333694458,1.0342051276564599,1.119190725684166
16,63.642578125,60.8601261138916,1.0139695903658867,1.1323353990912437
17,64.9296875,61.41150827407837,0.9822470393776893,1.135940434038639
18,65.6875,61.729266834259036,0.9608940067887307,1.126307736337185
19,66.111328125,62.74188709259033,0.9472566172480583,1.0957782819867135
20,66.7421875,62.51126794815063,0.9321121051907539,1.0979858055710792
21,67.373046875,65.27118396759033,0.9115091821551322,0.997351561486721
22,68.431640625,64.2337739944458,0.8894811986386776,1.0544541984796525
23,68.939453125,65.53861179351807,0.8759435033798217,1.006639802455902
24,69.5625,65.20207328796387,0.8589735171198845,1.0292879685759544
25,69.880859375,66.70522842407226,0.8467730644345284,0.9749505773186684
26,70.66796875,67.8695915222168,0.828788777589798,0.9480709478259086
27,71.15234375,65.0458233833313,0.8130140495300292,1.0536655485630035
28,71.625,67.50751190185547,0.7996897315979004,0.9895205691456794
29,72.349609375,67.5420672416687,0.7820616975426674,0.9436995804309845
30,72.802734375,67.67953729629517,0.7732684448361397,0.9760961443185806
31,73.33984375,69.2728364944458,0.7547182039916516,0.9105078712105751
32,73.8125,70.48828125,0.7413822829723358,0.8858570367097854
33,74.02734375,70.3523136138916,0.732678492218256,0.8877103224396705
34,74.44140625,69.5552885055542,0.7238564410805702,0.9148372486233711
35,74.890625,70.64152660369874,0.7067401146888732,0.8671847224235535
36,75.732421875,71.94936904907226,0.692160836160183,0.8305449411273003
37,75.490234375,71.15835342407226,0.6918796369433403,0.8590484291315079
38,76.017578125,72.06730766296387,0.6754348760843276,0.8439695850014687
39,76.802734375,72.76968135833741,0.655420180261135,0.8183751463890075
40,77.0078125,71.78861179351807,0.6522143021225929,0.856379148364067
41,77.6015625,72.4496696472168,0.6414155629277228,0.8268049463629723
42,77.82421875,73.97385845184326,0.6272893033921718,0.7808015242218971
43,78.005859375,72.31670665740967,0.624670642465353,0.8357618793845176
44,78.626953125,73.91150856018066,0.6137102143466473,0.7849281713366508
45,78.62890625,73.997145652771,0.6051256649196148,0.7806119978427887
46,79.224609375,74.14513206481934,0.5942312569916248,0.7898373439908027
47,79.302734375,73.70342559814453,0.5853180156648159,0.7926720172166825
48,79.78515625,71.03215141296387,0.5771347214281559,0.8972329586744309
49,79.80078125,74.58458518981934,0.5763235260546208,0.7799967125058174
50,80.216796875,72.93194122314453,0.5668634316325187,0.8227973505854607
